,note,string,finger,position,start,end,start_relative_time,end_relative_time,bow_start,bow_end,contact_bow,vibrato
238,F5,3,4,1,29.75,29.875,28560,120,5,9,1,0
239,A4,3,0,0,29.875,30,28680,120,9,5,1,0
240,G4,2,1,2,30,30.125,28800,120,5,11,1,0
241,F5,3,3,2,30.125,30.25,28920,120,11,-1,1,0
242,E5,3,2,2,30.25,30.375,29040,120,-1,-1,-1,0
243,D5,3,1,2,30.375,30.5,29160,120,-1,-1,-1,0
244,C#5,3,2,0,30.5,30.625,29280,120,-1,-1,-1,0
245,B4,3,1,0,30.625,30.75,29400,120,-1,4,-1,0
246,C#5,3,2,0,30.75,30.875,29520,120,4,-1,1,0
247,A4,3,0,0,30.875,31,29640,120,-1,9,-1,0
248,D5,3,3,0,31,31.125,29760,120,9,-1,1,0
249,A4,3,0,0,31.125,31.25,29880,120,-1,4,-1,0
250,E5,3,4,0,31.25,31.375,30000,120,4,8,1,0
251,G4,2,3,0,31.375,31.5,30120,120,8,5,1,0
252,F4,2,2,0,31.5,31.625,30240,120,5,9,1,0
253,D5,3,3,0,31.625,31.75,30360,120,9,5,1,0
254,B-4,3,1,0,31.75,31.875,30480,120,5,10,1,0
255,G4,2,3,0,31.875,32,30600,120,10,5,1,0
256,E4,2,1,0,32,32.125,30720,120,5,9,1,0
257,C5,3,2,0,32.125,32.25,30840,120,9,4,1,0
258,D4,2,0,0,32.25,32.375,30960,120,4,9,1,0
259,B-4,3,1,0,32.375,32.5,31080,120,9,4,1,0
260,G4,2,3,0,32.5,32.625,31200,120,4,9,1,0
261,E4,2,1,0,32.625,32.75,31320,120,9,5,1,0
262,C4,1,3,0,32.75,32.875,31440,120,5,8,1,0
263,A4,2,4,0,32.875,33,31560,120,8,4,1,0
264,B-3,1,2,0,33,33.125,31680,120,4,8,1,0
265,G4,2,3,0,33.125,33.25,31800,120,8,4,1,0
266,E4,2,1,0,33.25,33.375,31920,120,4,9,1,0
267,C#4,1,3,0,33.375,33.5,32040,120,9,5,1,0
268,A3,1,1,0,33.5,33.625,32160,120,5,8,1,0
269,F4,2,2,0,33.625,33.75,32280,120,8,5,1,0
270,G3,1,0,0,33.75,33.875,32400,120,5,11,1,0
271,F4,2,2,0,33.875,34,32520,120,11,-1,1,0
272,E4,2,1,0,34,34.125,32640,120,-1,-1,-1,0
273,D4,2,0,0,34.125,34.25,32760,120,-1,-1,-1,0
274,C#4,1,3,0,34.25,34.375,32880,120,-1,-1,-1,0
275,B3,1,2,0,34.375,34.5,33000,120,-1,3,-1,0
276,A3,1,1,0,34.5,34.625,33120,120,3,8,1,0
277,D4,1,4,0,34.625,34.75,33240,120,8,4,1,0
278,C#4,1,3,0,34.75,34.875,33360,120,4,-1,1,0
279,E4,2,1,0,34.875,35,33480,120,-1,10,-1,0
280,D4,2,0,0,35,35.125,33600,120,10,-1,1,0
281,F4,2,2,0,35.125,35.25,33720,120,-1,4,-1,0
282,A3,1,1,0,35.25,35.375,33840,120,4,8,1,0
283,E4,2,1,0,35.375,35.5,33960,120,8,5,1,0
284,D4,2,0,0,35.5,35.625,34080,120,5,-1,1,0
285,F4,2,2,0,35.625,35.75,34200,120,-1,9,-1,0
286,E4,2,1,0,35.75,35.875,34320,120,9,-1,1,0
287,G4,2,3,0,35.875,36,34440,120,-1,4,-1,0
288,A3,1,1,0,36,36.125,34560,120,4,8,1,0
289,F4,2,2,0,36.125,36.25,34680,120,8,5,1,0
290,E4,2,1,0,36.25,36.375,34800,120,5,-1,1,0
291,G4,2,3,0,36.375,36.5,34920,120,-1,10,-1,0
292,F4,2,2,0,36.5,36.625,35040,120,10,-1,1,0
293,A4,2,4,0,36.625,36.75,35160,120,-1,4,-1,0
294,B-3,1,1,1,36.75,36.875,35280,120,4,9,1,0
295,G4,2,2,1,36.875,37,35400,120,9,5,1,0
296,F#4,2,1,1,37,37.125,35520,120,5,-1,1,0
297,A4,2,3,1,37.125,37.25,35640,120,-1,10,-1,0
298,G4,2,2,1,37.25,37.375,35760,120,10,-1,1,0
299,B-4,2,4,1,37.375,37.5,35880,120,-1,5,-1,0
300,C#4,1,1,0,37.5,37.625,36000,120,5,11,1,0
301,B-4,2,3,2,37.625,37.75,36120,120,11,-1,1,0
302,A4,2,2,2,37.75,37.875,36240,120,-1,-1,-1,0
303,G4,2,1,2,37.875,38,36360,120,-1,-1,-1,0
304,F4,2,2,1,38,38.125,36480,120,-1,-1,-1,0
305,E4,2,1,1,38.125,38.25,36600,120,-1,4,-1,0
306,F4,2,2,0,38.25,38.375,36720,120,4,8,1,0
307,D4,2,0,0,38.375,38.5,36840,120,8,11,-1,0
308,F4,2,2,0,38.5,38.625,36960,120,11,5,1,0
309,A4,3,0,0,38.625,38.75,37080,120,5,9,1,0
310,D5,3,3,0,38.75,38.875,37200,120,9,5,1,0
311,F5,4,1,0,38.875,39,37320,120,5,8,1,0
312,A5,4,3,0,39,39.125,37440,120,8,5,1,0
313,D5,3,3,0,39.125,39.25,37560,120,5,11,1,0
314,A4,2,4,0,39.25,39.5,37680,240,11,4,1,1
316,C#5,3,2,0,39.5,39.75,37920,240,4,12,1,1
319,D5,3,2,1,39.75,40.5,38160,720,3,12,1,1
