,note,start_time,duration,velocity,tempo
381,C#5,100,0.25,100,250
382,G5,100.25,0.25,100,250
383,E5,100.5,0.25,100,250
384,C#5,100.75,0.25,100,250
385,B-4,101,0.25,100,250
386,F#4,101.25,0.25,100,250
387,C#5,101.5,0.25,100,250
388,E4,101.75,0.25,100,250
389,D4,102,0.25,100,250
390,F#4,102.25,0.25,100,250
391,B4,102.5,0.25,100,250
392,D4,102.75,0.25,100,250
393,C#4,103,0.25,100,250
394,B3,103.25,0.25,100,250
395,B-3,103.5,0.25,100,250
396,E4,103.75,0.25,100,250
397,D4,104,0.25,100,250
398,B3,104.25,0.25,100,250
399,D4,104.5,0.25,100,250
400,F#4,104.75,0.25,100,250
401,B4,105,0.25,100,250
402,G4,105.25,0.25,100,250
403,F#4,105.5,0.25,100,250
404,E4,105.75,0.25,100,250
405,E-4,106,0.25,100,250
406,F#4,106.25,0.25,100,250
407,A4,106.5,0.25,100,250
408,C5,106.75,0.25,100,250
409,B4,107,0.25,100,250
410,A4,107.25,0.25,100,250
411,F#5,107.5,0.25,100,250
412,A4,107.75,0.25,100,250
413,G4,108,0.25,100,250
414,B4,108.25,0.25,100,250
415,E5,108.5,0.25,100,250
416,G5,108.75,0.25,100,250
417,F#5,109,0.25,100,250
418,A5,109.25,0.25,100,250
419,E-5,109.5,0.25,100,250
420,E5,109.75,0.25,100,250
421,B4,110,0.25,100,250
422,E5,110.25,0.25,100,250
423,E-5,110.5,0.25,100,250
424,F#5,110.75,0.25,100,250
425,B5,111,0.25,100,250
426,F#5,111.25,0.25,100,250
427,E-5,111.5,0.25,100,250
428,A4,111.75,0.25,100,250
429,G#4,112,0.25,100,250
430,B4,112.25,0.25,100,250
431,E5,112.5,0.25,100,250
432,G#5,112.75,0.25,100,250
433,B5,113,0.25,100,250
434,D6,113.25,0.25,100,250
435,C6,113.5,0.25,100,250
436,B5,113.75,0.25,100,250
437,C6,114,0.25,100,250
438,A5,114.25,0.25,100,250
439,E5,114.5,0.25,100,250
440,C5,114.75,0.25,100,250
441,A4,115,0.25,100,250
442,G5,115.25,0.25,100,250
443,F#5,115.5,0.25,100,250
444,E5,115.75,0.25,100,250
445,E-5,116,0.25,100,250
446,F#5,116.25,0.25,100,250
447,A5,116.5,0.25,100,250
448,C6,116.75,0.25,100,250
449,B5,117,0.25,100,250
450,A5,117.25,0.25,100,250
451,E-5,117.5,0.25,100,250
452,A5,117.75,0.25,100,250
453,G5,118,0.25,100,250
454,B5,118.25,0.25,100,250
455,G5,118.5,0.25,100,250
456,E5,118.75,0.25,100,250
457,B4,119,0.25,100,250
458,G5,119.25,0.25,100,250
459,D6,119.5,0.25,100,250
460,F5,119.75,0.25,100,250
461,E5,120,0.25,100,250
462,B4,120.25,0.25,100,250
463,C5,120.5,0.25,100,250
464,E5,120.75,0.25,100,250
465,B-4,121,0.25,100,250
466,B4,121.25,0.25,100,250
467,E-4,121.5,0.25,100,250
468,E4,121.75,0.25,100,250
469,G3,122,0.25,100,250
470,E4,122.25,0.25,100,250
471,B4,122.5,0.25,100,250
472,G5,122.75,0.25,100,250
473,F#5,123,0.25,100,250
474,E5,123.25,0.25,100,250
475,B4,123.5,0.25,100,250
476,E-5,123.75,0.25,100,250
477,E4,124,0.25,100,250
478,G4,124.25,0.25,100,250
479,B4,124.5,0.25,100,250
480,E5,124.75,0.25,100,250
481,B4,125,0.25,100,250
482,G4,125.25,0.25,100,250
483,E4,125.5,0.25,100,250
484,G4,125.75,0.25,100,250
485,C#4,126,0.25,100,250
486,A4,126.25,0.25,100,250
487,E5,126.5,0.25,100,250
488,G4,126.75,0.25,100,250
489,F#4,127,0.25,100,250
490,A5,127.25,0.25,100,250
491,E4,127.5,0.25,100,250
492,G5,127.75,0.25,100,250
493,D4,128,0.25,100,250
494,G5,128.25,0.25,100,250
495,F#5,128.5,0.25,100,250
496,E5,128.75,0.25,100,250
497,D5,129,0.25,100,250
498,F#5,129.25,0.25,100,250
499,B-5,129.5,0.25,100,250
500,B5,129.75,0.25,100,250
501,E5,130,0.25,100,250
502,C#5,130.25,0.25,100,250
503,B-4,130.5,0.25,100,250
504,C#5,130.75,0.25,100,250
505,D4,131,0.25,100,250
506,F#5,131.25,0.25,100,250
507,C#4,131.5,0.25,100,250
508,E5,131.75,0.25,100,250
509,B3,132,0.25,100,250
510,E5,132.25,0.25,100,250
511,D5,132.5,0.25,100,250
512,C#5,132.75,0.25,100,250
513,B4,133,0.25,100,250
514,D5,133.25,0.25,100,250
515,F#5,133.5,0.25,100,250
516,G5,133.75,0.25,100,250
517,C5,134,0.25,100,250
518,A4,134.25,0.25,100,250
519,F#4,134.5,0.25,100,250
520,A4,134.75,0.25,100,250
521,D4,135,0.25,100,250
522,F#4,135.25,0.25,100,250
523,A4,135.5,0.25,100,250
524,C5,135.75,0.25,100,250
525,F#5,136,0.25,100,250
526,B4,136.25,0.25,100,250
527,E-4,136.5,0.25,100,250
528,F#4,136.75,0.25,100,250
529,B4,137,0.25,100,250
530,E-5,137.25,0.25,100,250
531,F#5,137.5,0.25,100,250
532,A5,137.75,0.25,100,250
533,G5,138,0.25,100,250
534,E5,138.25,0.25,100,250
535,B4,138.5,0.25,100,250
536,D5,138.75,0.25,100,250
537,C5,139,0.25,100,250
538,E5,139.25,0.25,100,250
539,G5,139.5,0.25,100,250
540,B4,139.75,0.25,100,250
541,B-4,140,0.25,100,250
542,G5,140.25,0.25,100,250
543,F#5,140.5,0.25,100,250
544,E4,140.75,0.25,100,250
545,D4,141,0.25,100,250
546,B5,141.25,0.25,100,250
547,B-5,141.5,0.25,100,250
548,B5,141.75,0.25,100,250
549,F5,142,0.25,100,250
550,F#5,142.25,0.25,100,250
551,B-4,142.5,0.25,100,250
552,B4,142.75,0.25,100,250
553,F#4,143,0.25,100,250
554,D5,143.25,0.25,100,250
555,C#5,143.5,0.25,100,250
556,B-4,143.75,0.25,100,250
557,B4,144,0.25,100,250
558,B3,144.25,0.25,100,250
559,D4,144.5,0.25,100,250
560,F#4,144.75,0.25,100,250
561,B4,145,0.25,100,250
562,D5,145.25,0.25,100,250
563,F#5,145.5,0.25,100,250
564,B-5,145.75,0.25,100,250
565,B5,146,0.25,100,250
566,F#5,146.25,0.25,100,250
567,D5,146.5,0.25,100,250
568,B4,146.75,0.25,100,250
569,B3,147,0.75,100,250
570,C#5,147.75,0.25,100,250
571,C#5,148,0.25,100,250
572,G5,148.25,0.25,100,250
573,E5,148.5,0.25,100,250
574,C#5,148.75,0.25,100,250
575,B-4,149,0.25,100,250
576,F#4,149.25,0.25,100,250
577,C#5,149.5,0.25,100,250
578,E4,149.75,0.25,100,250
579,D4,150,0.25,100,250
580,F#4,150.25,0.25,100,250
581,B4,150.5,0.25,100,250
582,D4,150.75,0.25,100,250
583,C#4,151,0.25,100,250
584,B3,151.25,0.25,100,250
585,B-3,151.5,0.25,100,250
586,E4,151.75,0.25,100,250
587,D4,152,0.25,100,250
588,B3,152.25,0.25,100,250
589,D4,152.5,0.25,100,250
590,F#4,152.75,0.25,100,250
591,B4,153,0.25,100,250
592,G4,153.25,0.25,100,250
593,F#4,153.5,0.25,100,250
594,E4,153.75,0.25,100,250
595,E-4,154,0.25,100,250
596,F#4,154.25,0.25,100,250
597,A4,154.5,0.25,100,250
598,C5,154.75,0.25,100,250
599,B4,155,0.25,100,250
600,A4,155.25,0.25,100,250
601,F#5,155.5,0.25,100,250
602,A4,155.75,0.25,100,250
603,G4,156,0.25,100,250
604,B4,156.25,0.25,100,250
605,E5,156.5,0.25,100,250
606,G5,156.75,0.25,100,250
607,F#5,157,0.25,100,250
608,A5,157.25,0.25,100,250
609,E-5,157.5,0.25,100,250
610,E5,157.75,0.25,100,250
611,B4,158,0.25,100,250
612,E5,158.25,0.25,100,250
613,E-5,158.5,0.25,100,250
614,F#5,158.75,0.25,100,250
615,B5,159,0.25,100,250
616,F#5,159.25,0.25,100,250
617,E-5,159.5,0.25,100,250
618,A4,159.75,0.25,100,250
619,G#4,160,0.25,100,250
620,B4,160.25,0.25,100,250
621,E5,160.5,0.25,100,250
622,G#5,160.75,0.25,100,250
623,B5,161,0.25,100,250
624,D6,161.25,0.25,100,250
625,C6,161.5,0.25,100,250
626,B5,161.75,0.25,100,250
627,C6,162,0.25,100,250
628,A5,162.25,0.25,100,250
629,E5,162.5,0.25,100,250
630,C5,162.75,0.25,100,250
631,A4,163,0.25,100,250
632,G5,163.25,0.25,100,250
633,F#5,163.5,0.25,100,250
634,E5,163.75,0.25,100,250
635,E-5,164,0.25,100,250
636,F#5,164.25,0.25,100,250
637,A5,164.5,0.25,100,250
638,C6,164.75,0.25,100,250
639,B5,165,0.25,100,250
640,A5,165.25,0.25,100,250
641,E-5,165.5,0.25,100,250
642,A5,165.75,0.25,100,250
643,G5,166,0.25,100,250
644,B5,166.25,0.25,100,250
645,G5,166.5,0.25,100,250
646,E5,166.75,0.25,100,250
647,B4,167,0.25,100,250
648,G5,167.25,0.25,100,250
649,D6,167.5,0.25,100,250
650,F5,167.75,0.25,100,250
651,E5,168,0.25,100,250
652,B4,168.25,0.25,100,250
653,C5,168.5,0.25,100,250
654,E5,168.75,0.25,100,250
655,B-4,169,0.25,100,250
656,B4,169.25,0.25,100,250
657,E-4,169.5,0.25,100,250
658,E4,169.75,0.25,100,250
659,G3,170,0.25,100,250
660,E4,170.25,0.25,100,250
661,B4,170.5,0.25,100,250
662,G5,170.75,0.25,100,250
663,F#5,171,0.25,100,250
664,E5,171.25,0.25,100,250
665,B4,171.5,0.25,100,250
666,E-5,171.75,0.25,100,250
667,E4,172,0.25,100,250
668,G4,172.25,0.25,100,250
669,B4,172.5,0.25,100,250
670,E5,172.75,0.25,100,250
671,B4,173,0.25,100,250
672,G4,173.25,0.25,100,250
673,E4,173.5,0.25,100,250
674,G4,173.75,0.25,100,250
675,C#4,174,0.25,100,250
676,A4,174.25,0.25,100,250
677,E5,174.5,0.25,100,250
678,G4,174.75,0.25,100,250
679,F#4,175,0.25,100,250
680,A5,175.25,0.25,100,250
681,E4,175.5,0.25,100,250
682,G5,175.75,0.25,100,250
683,D4,176,0.25,100,250
684,G5,176.25,0.25,100,250
685,F#5,176.5,0.25,100,250
686,E5,176.75,0.25,100,250
687,D5,177,0.25,100,250
688,F#5,177.25,0.25,100,250
689,B-5,177.5,0.25,100,250
690,B5,177.75,0.25,100,250
691,E5,178,0.25,100,250
692,C#5,178.25,0.25,100,250
693,B-4,178.5,0.25,100,250
694,C#5,178.75,0.25,100,250
695,D4,179,0.25,100,250
696,F#5,179.25,0.25,100,250
697,C#4,179.5,0.25,100,250
698,E5,179.75,0.25,100,250
699,B3,180,0.25,100,250
700,E5,180.25,0.25,100,250
701,D5,180.5,0.25,100,250
702,C#5,180.75,0.25,100,250
703,B4,181,0.25,100,250
704,D5,181.25,0.25,100,250
705,F#5,181.5,0.25,100,250
706,G5,181.75,0.25,100,250
707,C5,182,0.25,100,250
708,A4,182.25,0.25,100,250
709,F#4,182.5,0.25,100,250
710,A4,182.75,0.25,100,250
711,D4,183,0.25,100,250
712,F#4,183.25,0.25,100,250
713,A4,183.5,0.25,100,250
714,C5,183.75,0.25,100,250
715,F#5,184,0.25,100,250
716,B4,184.25,0.25,100,250
717,E-4,184.5,0.25,100,250
718,F#4,184.75,0.25,100,250
719,B4,185,0.25,100,250
720,E-5,185.25,0.25,100,250
721,F#5,185.5,0.25,100,250
722,A5,185.75,0.25,100,250
723,G5,186,0.25,100,250
724,E5,186.25,0.25,100,250
725,B4,186.5,0.25,100,250
726,D5,186.75,0.25,100,250
727,C5,187,0.25,100,250
728,E5,187.25,0.25,100,250
729,G5,187.5,0.25,100,250
730,B4,187.75,0.25,100,250
731,B-4,188,0.25,100,250
732,G5,188.25,0.25,100,250
733,F#5,188.5,0.25,100,250
734,E4,188.75,0.25,100,250
735,D4,189,0.25,100,250
736,B5,189.25,0.25,100,250
737,B-5,189.5,0.25,100,250
738,B5,189.75,0.25,100,250
739,F5,190,0.25,100,250
740,F#5,190.25,0.25,100,250
741,B-4,190.5,0.25,100,250
742,B4,190.75,0.25,100,250
743,F#4,191,0.25,100,250
744,D5,191.25,0.25,100,250
745,C#5,191.5,0.25,100,250
746,B-4,191.75,0.25,100,250
747,B4,192,0.25,100,250
748,B3,192.25,0.25,100,250
749,D4,192.5,0.25,100,250
750,F#4,192.75,0.25,100,250
751,B4,193,0.25,100,250
752,D5,193.25,0.25,100,250
753,F#5,193.5,0.25,100,250
754,B-5,193.75,0.25,100,250
755,B5,194,0.25,100,250
756,F#5,194.25,0.25,100,250
757,D5,194.5,0.25,100,250
758,B4,194.75,0.25,100,250
759,B3,195,0.75,100,250
