num,note,start,end,pitch
22,B-4,2.584671201814059,2.7374411548657016,"[462.02185378323145, 464.61536043078, 464.67967953666795, 465.98286166244174, 466.0972174637598, 466.73632423655476, 467.0737124816167, 466.8312010341514, 466.94272028658474, 466.7525013768661, 466.35374147842236, 466.1637697458702, 465.0522255357225, 462.1044158159256, 460.19503059835995, 460.45719579432154]"
23,D5,2.6819047619047622,2.8908843537414963,"[581.3843777378008, 584.0155695966577, 586.1018924023169, 584.7688404544282, 585.0410295870273, 587.0093851247931, 589.380782653367, 590.0883466072623, 589.6499611486178, 588.7643879467655, 588.1546143628018, 587.9793924503003, 588.1441863451919, 587.5484722893033, 586.8397279844746, 587.4254948963758, 588.1376743973212, 588.1998248340955, 587.7502533923607, 587.0614485174578, 586.2633098283866]"
24,G5,2.7994557823129256,2.9522257353645687,"[779.8001598449341, 779.0332240317789, 779.1861942697778, 780.1706108466308, 780.72507512597, 781.0942154769757, 781.1752863275492, 781.4057227277674, 781.2241229877155, 780.2779558896029, 778.5000753672623, 777.1096144347786, 776.7524912355566, 777.2788896061253, 777.9299310327524, 777.4686755638628]"
25,D5,2.8908843537414963,3.1828092363706033,"[580.686447442142, 583.1501934104688, 585.1485175133278, 587.4081646362167, 588.151033104443, 587.1067168897721, 586.6509801082022, 587.3208112649085, 587.8351145707348, 587.8011245763805, 587.5588925670086, 587.1451050041293, 587.3150445643166, 588.0001039937183, 588.2880876884275, 587.3425738481782, 586.7474002428633, 587.6879478248353, 588.224862067189, 588.0865700933322, 588.731446388181, 588.8248389200693, 588.501538643696, 588.1946585225519, 587.6469019724165, 587.2817622703333, 586.5435035018779, 585.7291584801673, 583.1493912073813, 581.2542546435432]"
26,C5,3.0243990929705213,3.2699389990738084,"[525.9526485416388, 522.6744351287248, 525.8765342515641, 526.765021553474, 526.7067543958304, 525.1023709938565, 523.0626805357635, 521.7006559999911, 521.369201161837, 521.3977977674065, 522.0931876295359, 522.7180448376064, 523.1176445761198, 523.4128304091106, 522.8290551967202, 521.8428029396363, 520.8822643953422, 519.6590485551741, 518.7821335158096, 519.2491205244962, 520.6579699858507, 522.651184248414, 524.1345307111477, 524.717380394241, 526.604023652488]"
27,B-4,3.157913832199547,3.3338762735141008,"[494.36845978710505, 470.2588833342394, 465.043019516027, 463.0272300993952, 461.5672558086858, 461.02314953520676, 462.0952989388019, 462.96235215154326, 464.42421324943894, 466.41751810888434, 467.7145559377102, 467.1621964146425, 465.5113070770534, 463.5639023231832, 460.3851752354825, 450.99092087046654, 446.35670592681856, 445.8533229413427]"
28,A4,3.26530612244898,3.4876535402893567,"[461.5765829488237, 460.83740566734724, 460.7644479436615, 457.3214518941461, 446.89241773819435, 442.5956854784271, 442.327023115833, 442.72248758844523, 443.08149861022855, 443.0914176210206, 441.6076774766567, 440.1557008184046, 439.44975606623166, 438.8564289855724, 438.28405876205545, 438.0674087841311, 438.27784375968554, 439.48626524490703, 440.32844334718857, 441.2026628249075, 442.5197093348995, 441.86759589566884, 441.1375663021887]"
29,G4,3.3872108843537414,3.6095583021941167,"[398.03544546371427, 397.72747337538806, 397.3650956030255, 396.84201038958486, 395.53499960217187, 394.4767225885847, 394.0101443506628, 393.77124695707886, 393.68601244915516, 393.5161440391834, 392.89077582008355, 392.5853360800704, 391.73721074897963, 391.23698651353436, 391.6046715915354, 391.41595507637254, 390.3350496231394, 376.9948363718229, 375.19114667034887, 374.4829758749172, 373.2098782455655, 373.0124658404226, 374.01061180116676]"
30,F#4,3.5033106575963715,3.7558276643990935,"[379.4295675101154, 381.3089913658656, 383.2596131961578, 379.1483654546719, 371.65127528434164, 370.09350928016784, 370.5524359707195, 371.3889133554278, 371.4869383657069, 370.69025471925335, 370.09284592133133, 370.15427139411736, 370.695497548505, 371.1072198724696, 371.9163195427041, 372.2537535259595, 371.68487408805595, 370.9267263415612, 370.51999543918674, 370.51291533637567, 371.368918614404, 371.7852468357686, 370.0340773101428, 368.2074225351792, 366.98842214532635, 367.3856692175821]"
31,D4,3.6237641723356,3.776534125387243,"[298.02782094153895, 297.5338362826803, 297.29456718624215, 299.14183934386534, 302.85702894596113, 297.54327034009475, 294.15070326871654, 293.3071867810677, 293.46496168257113, 293.86889873227744, 293.98375829218514, 294.11716656201116, 294.25362434270176, 294.02832077123605, 292.7671269612379, 290.96375648830184]"
32,F#4,3.7558276643990935,3.9549825939765584,"[361.8756102057625, 364.15364981153084, 369.9282655170313, 372.57912331394317, 374.56899452179846, 374.8115720335963, 374.23795806741686, 373.6105804875027, 373.2613855303302, 372.4425973504857, 371.82727095884275, 371.1401182289297, 370.6550442377972, 370.96748487270577, 371.87851076642914, 371.97286350587825, 371.62649560418527, 371.56548849528184, 371.71410590264645, 372.59418407347334]"
33,A4,3.861768707482993,4.084116125323368,"[438.27371767617655, 437.30721368835276, 437.98403643126983, 438.3239421276953, 437.3080789412848, 436.680051403, 437.40744724435353, 438.33171187073225, 439.14263084201923, 439.68177788787443, 439.9746986607712, 440.0527685143119, 439.5614595436172, 438.950493497097, 438.79074130716833, 438.4321513336439, 438.66222576355455, 439.6524477726505, 440.7453151697914, 441.36282932526905, 441.5542789046037, 441.6304324557084, 442.3354997716933]"
34,D5,3.9909297052154193,4.120507170004151,"[577.0324263623498, 582.4688673979308, 584.9586187844226, 587.022432340171, 588.3659220105026, 588.607625601867, 588.1967244395299, 588.0969962824055, 588.5776855451185, 588.7507861106898, 588.3821337493605, 588.1336153047375, 587.390487909812]"
35,F#5,4.067845804988663,4.1974232697773965,"[721.4330161001728, 732.0505075488189, 744.9691543051913, 745.6124414966251, 743.9117456266574, 743.344309672649, 743.4799043228475, 743.0362566927532, 743.0484259369321, 743.0069930738767, 742.8534038352235, 742.5422804120187, 742.6561523419747]"
36,A5,4.175238095238095,4.420778001341381,"[885.1255972588314, 888.5696628045498, 887.6554572996515, 883.4188096054922, 881.1346703087022, 881.2962699361578, 883.1318959510874, 884.9662365162249, 885.637460372154, 884.5929294058293, 883.6532118415025, 881.8204351237889, 879.7512713413066, 879.8956428131675, 882.4495710032695, 885.4626399661195, 887.6498286988344, 890.6869361298369, 892.0205530210386, 890.261720451477, 887.6097771154333, 885.179178829044, 883.4839522259541, 885.2945590521722, 888.5547520590109]"
